sample_names,mean,median,sd,quantile0.025,quantile0.975
1710078533,2,2,0.2745,2,3
1805048589,2,2,0,2,2
1811004884,2,2,0,2,2
1707080479,2,2,0,2,2
2004022897,2,2,0.20296,2,3
2107094080,2,2,0,2,2
1805014914,2,2,0,2,2
2210073749,2,2,0,2,2
1808039899,2,2,0,2,2
1904113832,2,2,0,2,2
2209113736,2,2,0,2,2
1708041462,2,2,0,2,2
1801073220,2,2,0,2,2
1610005091,2,2,0,2,2
1708028197,2,2,0,2,2
1808068152,2,2,0,2,2
2210104147,2,2,0,2,2
2211044462,2,2,0.12161,2,2
2103075979,2,2,0,2,2
1606002009,2,2,0,2,2
1808065507,2,2,0,2,2
1808090003,2,2,0,2,2
1706036717,2,2,0.11755,2,2
2208047784,2,2,0,2,2
1709024477,2,2,0,2,2
1809094709,2,2,0.30671,2,3
2107067149,2,2,0,2,2
2208028339,2,2,0,2,2
1711041680,2,2,0,2,2
2206003196,2,2,0.0447,2,2
2206028495,2,2,0.07727,2,2
1609079412,2,2,0,2,2
1801096644,2,2,0.23196,2,3
1602031712,2,2,0,2,2
1810112069,2,2,0,2,2
2301090499,2,2,0,2,2
1810067165,2,2,0,2,2
1701080960,2,2,0,2,2
2011106463,2,2,0,2,2
2209051626,2,2,0,2,2
2208055391,2,2,0,2,2
1605092980,2,2,0,2,2
1708004897,2,2,0.36113,2,3
1910044656,2,2,0,2,2
1607017594,2,2,0,2,2
1809035847,2,2,0,2,2
1610006221,2,2,0,2,2
1711006525,2,2,0,2,2
1610008749,2,2,0,2,2
1902045024,2,2,0,2,2
1602035494,2,2,0,2,2
1708010439,2,2,0,2,2
1806108589,2,2,0,2,2
1811026508,2,2,0,2,2
1709071023,2,2,0,2,2
1806017106,2,2,0,2,2
1710004491,2,2,0,2,2
1604073109,2,2,0,2,2
1605004100,2,2,0.07057,2,2
1612018766,2,2,0,2,2
1910035426,2,2,0,2,2
1801043811,2,2,0,2,2
1712085161,2,2,0,2,2
1708043582,2,2,0,2,2
1809024210,2,2,0,2,2
1711029271,2,2,0.10894,2,2
1608042579,2,2,0,2,2
1701067937,2,2,0,2,2
1703057711,2,2,0,2,2
1806071495,2,2,0,2,2
2201070589,2,2,0.1734,1,2
2201109130,2,2,0,2,2
1809045862,2,2,0,2,2
2208039301,2,2,0,2,2
1611004316,2,2,0,2,2
1810033691,2,2,0,2,2
1609023435,2,2,0,2,2
1809069168,2,2,0,2,2
1806108772,2,2,0,2,2
1609038928,2,2,0,2,2
1708028932,2,2,0,2,2
1908065898,2,2,0,2,2
1709093856,2,2,0,2,2
1905016656,2,2,0.50015,1,2
1607066285,2,2,0,2,2
1611004112,2,2,0,2,2
1805028199,2,2,0.39869,1,2
1706040515,2,2,0,2,2
1701036545,2,2,0,2,2
1809067210,2,2,0,2,2
1805029418,2,2,0,2,2
2209041267,2,2,0.03162,2,2
1610069221,2,2,0.2052,1,2
1901057107,2,2,0.17067,2,3
2209100605,2,2,0,2,2
2211034916,2,2,0,2,2
1606022212,2,2,0,2,2
1809068452,2,2,0,2,2
1610060903,2,2,0,2,2
1802052965,2,2,0,2,2
2012014005,2,2,0,2,2
2207030565,2,2,0,2,2
2207065147,2,2,0,2,2
1810078816,2,2,0,2,2
1801057243,2,2,0,2,2
1703002025,2,2,0,2,2
2211058806,2,2,0.05472,2,2
2209100361,2,2,0,2,2
2008094333,2,2,0,2,2
1808047330,2,2,0,2,2
1710012974,2,2,0,2,2
1610022327,2,2,0,2,2
1707073147,2,2,0,2,2
2008064242,2,2,0,2,2
1806016667,2,2,0,2,2
1610064880,2,2,0,2,2
1909041392,2,2,0,2,2
1809077897,2,2,0,2,2
1604002297,2,2,0,2,2
1701084967,2,2,0.08341,2,2
2105078066,2,2,0,2,2
2107056325,2,2,0,2,2
1606045813,2,2,0,2,2
1610008732,2,2,0,2,2
1805098148,2,2,0,2,2
2209078093,2,2,0,2,2
2207069574,2,2,0,2,2
2004046773,2,2,0,2,2
2206080551,2,2,0,2,2
1810015964,2,2,0,2,2
1712104071,2,2,0,2,2
1707086618,2,2,0,2,2
1711028566,2,2,0,2,2
1804012118,2,2,0,2,2
1909021285,2,2,0,2,2
1912099417,2,2,0,2,2
1610052544,2,2,0,2,2
1707062212,2,2,0,2,2
2208080195,2,2,0,2,2
1710007896,2,2,0,2,2
1703033840,2,2,0,2,2
1801010169,2,2,0,2,2
1808030045,2,2,0,2,2
1807066553,2,2,0,2,2
1901043242,2,2,0,2,2
1810030181,2,2,0,2,2
1710045331,2,2,0,2,2
1706059671,2,2,0,2,2
1604037154,2,2,0,2,2
1709062558,2,2,0,2,2
2206037658,2,2,0,2,2
1911101110,2,2,0,2,2
2104118998,2,2,0,2,2
1701006556,2,2,0,2,2
1910030476,2,2,0.10435,2,2
1706024536,2,2,0,2,2
2207030583,2,2,0,2,2
1906042960,2,2,0,2,2
1606068578,2,2,0,2,2
1702022079,2,2,0,2,2
2201081273,2,2,0.1562,1.975,2
1811025596,2,2,0,2,2
1909012002,2,2,0.22946,2,3
2009038613,2,2,0.10894,2,2
1608014708,2,2,0.6094,1,3
1911086032,2,2,0,2,2
1606049143,2,2,0,2,2
1709002772,2,2,0,2,2
1708059245,2,2,0,2,2
1809041690,2,2,0.10894,2,2
1602064583,2,2,0,2,2
1608072632,2,2,0,2,2
1608079146,2,1,1.07805,1,5
2203054032,3,3,0.37583,2,3
1809031457,3,3,0.23655,3,4
1806054021,3,3,0.11333,3,3
